cell,group in,nuclide,mean,std. dev.
1,1,total,1.6730782719972976,0.000782291714004787
1,2,total,0.8748197201786402,0.0003271109191273687
1,3,total,0.5896731789279573,0.0005679756607985379
1,4,total,0.1534092344202793,0.00013474416437439312
