cell,group in,nuclide,mean,std. dev.
1,1,total,0.2819610193824332,8.747682139624468e-05
1,2,total,0.42774914035063977,0.0001410895789624527
1,3,total,0.5701238328558464,0.000541430995252413
1,4,total,2.1785672301163848,0.0018966992316588526
