cell,group in,nuclide,mean,std. dev.
2,1,total,0.2711214351208778,0.0001542166428087764
2,2,total,0.9029860418671465,0.00022913787293194198
2,3,total,1.4964640972771046,0.0003700041293057535
2,4,total,2.7652749969573613,0.001127601653731656
