cell,group in,nuclide,mean,std. dev.
1,1,total,0.014400966426449823,4.640192627590835e-06
1,2,total,0.012416641079146471,4.439562163857068e-06
1,3,total,0.10496311302536786,9.663562462979857e-05
1,4,total,1.7604306532578795,0.001526029831112946
