cell,group in,nuclide,mean,std. dev.
2,1,total,0.0005055457619689872,7.352646402993862e-07
2,2,total,1.2557567970392167e-05,3.268643054028949e-09
2,3,total,0.0009392108370173653,2.6131872417280525e-07
2,4,total,0.01903372989781954,7.810943987792258e-06
