1.446135326866820892e-02 5.330695083235146951e-03
2.360460176337389818e-02 6.212192361072609373e-03
3.230512854021666547e-02 6.945506695245251723e-03
4.073424379682430430e-02 7.680315614411759376e-03
4.918133617988969947e-02 8.379250808503125106e-03
5.775503670566242004e-02 9.082122163798550876e-03
6.649147401829695603e-02 9.809178734720629816e-03
7.548429333051280554e-02 1.059060237229528072e-02
8.466611294209351601e-02 1.136826158824299701e-02
9.407062198578290679e-02 1.217405046893614388e-02
1.036147761746923635e-01 1.301681336715278421e-02
1.135489055519701834e-01 1.384626406587366985e-02
1.238652256216684067e-01 1.479389310425586850e-02
1.346518286934701714e-01 1.580002953366249629e-02
1.460013587944470892e-01 1.684524658245875259e-02
1.578674959474757611e-01 1.791973601828975374e-02
1.700868472182825164e-01 1.906572505993075345e-02
1.828073053108569823e-01 2.033952838006512429e-02
1.965402058103793703e-01 2.165326702153582208e-02
2.104831258151339535e-01 2.307714596720523287e-02
2.254636960121702560e-01 2.458400531503699554e-02
2.414293906299831427e-01 2.625155073765766608e-02
2.575126674328032106e-01 2.795960005284337663e-02
2.747634829438657111e-01 2.977629869556820685e-02
2.927409875894163016e-01 3.173064168414244796e-02
3.117463669624203626e-01 3.387141704125731095e-02
3.316886797570736123e-01 3.618621214652972817e-02
3.526022874901144077e-01 3.870380721328359891e-02
3.748912827218793264e-01 4.141923931105936929e-02
3.978026610235373406e-01 4.437517159582724663e-02
4.217400801663249710e-01 4.750144374653227780e-02
4.468866483540072099e-01 5.093438126879807487e-02
4.725864770543151128e-01 5.461123949764866425e-02
4.988928643246656192e-01 5.864517038539301952e-02
5.271480189172318420e-01 6.296165130661232623e-02
5.560720745599109227e-01 6.768876540788056062e-02
5.846916592756076225e-01 7.284358435020987788e-02
6.147681055971709885e-01 7.835134275296071205e-02
6.461531783803022844e-01 8.443111539424354162e-02
6.777500674834762151e-01 9.115495476015367249e-02
7.093094913089657005e-01 9.824650764342555964e-02
7.415838763733876293e-01 1.060610916075725441e-01
7.734307889145471959e-01 1.146814559529688721e-01
8.044989929398895789e-01 1.239389855261727597e-01
8.349324551944722339e-01 1.339216722212900890e-01
8.638629694004560378e-01 1.448872162119567708e-01
8.918795713468566921e-01 1.567851594363493251e-01
9.170861077667707972e-01 1.696324154069947521e-01
9.408347603332364306e-01 1.836966743486984910e-01
9.609038990859370966e-01 1.987846493587208940e-01
9.778617125169976054e-01 2.152748815153549822e-01
9.901894404503310820e-01 2.330031158515178946e-01
9.969067908585362847e-01 2.519930189503276630e-01
9.983115518821441547e-01 2.724050927762781682e-01
9.936215800372710794e-01 2.943016014767939059e-01
9.817309257081632268e-01 3.177842878314148245e-01
9.618890482432815858e-01 3.427362813234506866e-01
9.338755146044822597e-01 3.693056371633423041e-01
8.962654199731108218e-01 3.976391759837635265e-01
8.483034874761494759e-01 4.271881733492197131e-01
7.903113856687697947e-01 4.583209507642174718e-01
7.216718321129589331e-01 4.913094843984529558e-01
6.422108483629896947e-01 5.263881858783752143e-01
5.509835837870207254e-01 5.637352722538415684e-01
4.481115603077615583e-01 6.044327428124096624e-01
3.316505523194713811e-01 6.521010268787542641e-01
1.845046860256164545e-01 7.258997398415426572e-01
5.817216359100620127e-02 7.754024363864339131e-01
2.445200007398363323e-02 7.742143858261346656e-01
1.211984849606683595e-02 7.753851142642035343e-01
6.612430444970882060e-03 7.807423233951460428e-01
3.875591656347801041e-03 7.888870031409445094e-01
2.396523271830976361e-03 7.983993723549129840e-01
1.553390898294741739e-03 8.093337606192665401e-01
1.042496379264985697e-03 8.206865329387859065e-01
7.158095954124750514e-04 8.319233441715477850e-01
5.088415708635710437e-04 8.434210976135503302e-01
3.689449396790621654e-04 8.553039701306149878e-01
2.786709121748242950e-04 8.669530977573389752e-01
2.134060355948123855e-04 8.782115101509450072e-01
1.615693998399072206e-04 8.889988751888142637e-01
1.226379677602544864e-04 8.994732575889389237e-01
9.510040778635333062e-05 9.093743196129023820e-01
7.380828676610216561e-05 9.190737028363112904e-01
5.653558434160980810e-05 9.282591867851686107e-01
4.392376369918196390e-05 9.368985269280044603e-01
3.413977612254549013e-05 9.453045020784697217e-01
2.785168206095766161e-05 9.528217662620811490e-01
2.202097269786100402e-05 9.598181580100506594e-01
1.845222140407080968e-05 9.664648561637260160e-01
1.507984769925382395e-05 9.725719504954292161e-01
1.159841748959004824e-05 9.780557452419907927e-01
9.199825546278216987e-06 9.826041269990365423e-01
6.517653425859789485e-06 9.868087215520601196e-01
5.840639196958641313e-06 9.903816398356730666e-01
4.794302139613775552e-06 9.935340120446732870e-01
4.389447843880759971e-06 9.961313617542485455e-01
3.279921395791592029e-06 9.980930196099538909e-01
3.658797342071382338e-06 9.992730146101140853e-01
3.034027401950549545e-06 9.999945397779254064e-01
3.319916967757170376e-06 1.000000000000000000e+00
3.308218733541705968e-06 9.992081159230233878e-01
3.739875977200407539e-06 9.982278138177167470e-01
4.501977443382657158e-06 9.960431213488246671e-01
5.163902957026722457e-06 9.934591581605175525e-01
5.602476565095274846e-06 9.907097453233199014e-01
7.732546250831680404e-06 9.872445213308657097e-01
8.543405071832285775e-06 9.833137736983074140e-01
1.063131609344857764e-05 9.784094684232644834e-01
1.342659653126312711e-05 9.730465475893130822e-01
1.606942768658236193e-05 9.673630201518718108e-01
2.117030907016315174e-05 9.608406256351084140e-01
2.694342130230383052e-05 9.536203957319859814e-01
3.283693928957261664e-05 9.459512053227623340e-01
4.310610389912472682e-05 9.379500621387636405e-01
5.667814315859812341e-05 9.292515570392854141e-01
7.329653023500031341e-05 9.198960852502958696e-01
9.276122204359266144e-05 9.101500395119331843e-01
1.184326033019190359e-04 8.997479065739797388e-01
1.532514887875772265e-04 8.893978094134725731e-01
2.038552740461624098e-04 8.786086911942474487e-01
2.703092687775986917e-04 8.675672540614514094e-01
3.665151046049817236e-04 8.563694615750938599e-01
5.022148004141757617e-04 8.447997534926140473e-01
7.178896318675473094e-04 8.331961773441469710e-01
1.028056869340765673e-03 8.217285792983810566e-01
1.530379844305447719e-03 8.104908174862291981e-01
2.394360169736692474e-03 7.994252387017443118e-01
3.851450241090662811e-03 7.899418196445530116e-01
6.600335448117776102e-03 7.824669211070192087e-01
1.211873925755936610e-02 7.771617869866583872e-01
2.449187220102608947e-02 7.754856188736637401e-01
5.824826835434581546e-02 7.760528947347228312e-01
1.845771318191331278e-01 7.265501178905501289e-01
3.318636615158048198e-01 6.526272110543757110e-01
4.488026582079890359e-01 6.049043232423692018e-01
5.514125504971014724e-01 5.643454111595975764e-01
6.425804491618835046e-01 5.271516002770623155e-01
7.224294290996802204e-01 4.918557204867413657e-01
7.908945902600484912e-01 4.588221062152149643e-01
8.489603538375062319e-01 4.274671889630743404e-01
8.970862190898384325e-01 3.978124860959455500e-01
9.345984423097184468e-01 3.697705228712902525e-01
9.633020289719484985e-01 3.431477588617639074e-01
9.832413194649103350e-01 3.183760633395134043e-01
9.949437940432289684e-01 2.948814977920948266e-01
1.000000000000000000e+00 2.728628040216739548e-01
9.985360262605017523e-01 2.525048902799056361e-01
9.907724830905451086e-01 2.333115366932884682e-01
9.796309533984063345e-01 2.155890342819259675e-01
9.632682284809979123e-01 1.992334682589766703e-01
9.431840548991304862e-01 1.840746399261502519e-01
9.192558301697675294e-01 1.700179222822147396e-01
8.937674064056062573e-01 1.571126036108611013e-01
8.664082194659348257e-01 1.452348560800750810e-01
8.366502998710004801e-01 1.343267337753919766e-01
8.057897791272181642e-01 1.242269578555806886e-01
7.745935005858576305e-01 1.148402699688201578e-01
7.428611509268805424e-01 1.063277249236798394e-01
7.106615814026064903e-01 9.838826360250449432e-02
6.788638267289331951e-01 9.126179475754758741e-02
6.471160319823566764e-01 8.467422022995264863e-02
6.166902911274904087e-01 7.859744243997851543e-02
5.861322114348566092e-01 7.295025316615344479e-02
5.560218925962086001e-01 6.776912336044493834e-02
5.277065468012082095e-01 6.315926656373330172e-02
4.994569039173978875e-01 5.871413633342041638e-02
4.721712961775429429e-01 5.467934667013008010e-02
4.463473474654001127e-01 5.102227487225638458e-02
4.210859568232692141e-01 4.752636441145455248e-02
3.972627170232534977e-01 4.441978667776825401e-02
3.741860814366348431e-01 4.156881505923782499e-02
3.523371140134462509e-01 3.887461783468633414e-02
3.313999534913309453e-01 3.630671063957339323e-02
3.113876716183598958e-01 3.394762172054894417e-02
2.926427668429414930e-01 3.179059488199590527e-02
2.745327759194430839e-01 2.979042205372191970e-02
2.571203018220106773e-01 2.795713080212923821e-02
2.405675374353443141e-01 2.619285867067288817e-02
2.250980553809309448e-01 2.460060959872459665e-02
2.102363195076131785e-01 2.309252935882321126e-02
1.960463332387997470e-01 2.165528448208330417e-02
1.824367862621608383e-01 2.032018846293102282e-02
1.693843088078504089e-01 1.911114180122453973e-02
1.572273398905565944e-01 1.795395884244301368e-02
1.456049685925493997e-01 1.685003381437464448e-02
1.344818612729729856e-01 1.581150250386747363e-02
1.237945118833150004e-01 1.481710596489793988e-02
1.132643143333906532e-01 1.384994492258616143e-02
1.030192703735945681e-01 1.298917301808039625e-02
9.328457333390689776e-02 1.214231548931216445e-02
8.403595587205363315e-02 1.134585149455036648e-02
7.504961983142648119e-02 1.057605418633055828e-02
6.620072953313735353e-02 9.815458375021689913e-03
5.751100564274266164e-02 9.102084115370947040e-03
4.900274156674401527e-02 8.343794268593078198e-03
4.049136534987592129e-02 7.656579975202596790e-03
3.210485676392033083e-02 6.949018076864115281e-03
2.349171081675395165e-02 6.209637965176684725e-03
1.442482903932828381e-02 5.337293927310303096e-03
